comparison,medium,time,agitation,compound,genus,log2FoldChange,stat,padj,sig_padj0.05,sig_padj0.01
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Alistipes,-0.17146622892268337,-0.5206600163440099,0.8106453628372261,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Tyzzerella,-0.3180666778260178,-0.5261014191203817,0.8106453628372261,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Lactobacillus,1.1169091316837814,0.4596308999597495,0.8202744109848309,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Hespellia,0.09016513165326992,0.12615732125753748,0.970765396585878,FALSE,FALSE
GAM_t24_Static_Quercetin,GAM,24,Static,Quercetin,Ruminococcus,0.03376746490326636,0.18949032637367377,0.970765396585878,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Paeniclostridium,-5.55168158115397,-11.3668670493131,9.171449056353444e-28,TRUE,TRUE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Negativibacillus,-4.024018843643104,-6.780068819079332,9.008898825879159e-10,TRUE,TRUE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Escherichia,1.465324433516806,3.963957038755413,0.00368587623525954,TRUE,TRUE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Parasutterella,1.2525732817463675,3.8014210576771106,0.00539507165944615,TRUE,TRUE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Acidaminococcus,0.5745987572642581,2.2697979173952527,0.45579814204895513,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Duodenibacillus,-3.524726983930602,-2.2522063608839376,0.45579814204895513,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Slackia,1.390837156995134,2.0875214571450154,0.6140170586486572,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Collinsella,0.9327646014945192,1.8772722773454764,0.7867659187346896,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Alistipes,0.5873157891083886,1.3858052760367532,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Anaerostipes,-0.3065070614532278,-1.2105978111156332,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Eubacterium,0.43125272316310886,1.314458820941528,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Parabacteroides,0.41261686676036025,1.2112033629651462,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Peptostreptococcus,-1.033454337833801,-1.5496330484534584,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Phocaeicola,-0.4528767084500131,-1.3131277695132586,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Roseburia,0.3308697879402184,0.932380250672398,0.8634591331907059,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Eggerthella,0.4036470509196724,0.9123594063987958,0.8747892369202603,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Anaerobutyricum,0.02494099722971794,0.07131802320311685,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Anaeromassilibacillus,0.09110950183736578,0.14822082870825146,0.9860043470338818,FALSE,FALSE
GAM_t24_Stirred_Quercetin,GAM,24,Stirred,Quercetin,Bacteroides,-0.09761615497788376,-0.2819465174984849,0.9860043470338818,FALSE,FALSE
