"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC38_Pl3",23249.8514906263,"mBHI","CGA","Stirred","24","R2","mBHI_CGA_Stirred_24"
"repBC39_Pl1",32655.8144621093,"Schaedler","DMSOControl","Static","24","R3","Schaedler_DMSOControl_Static_24"
"repBC39_Pl2",35898.3248837032,"GAM","FecesOnly","Static","24","R3","GAM_FecesOnly_Static_24"
"repBC39_Pl3",50441.6313628978,"mBHI","CGA","Stirred","24","R3","mBHI_CGA_Stirred_24"
"repBC40_Pl1",44014.4070654163,"Schaedler","WaterControl","Static","24","R1","Schaedler_WaterControl_Static_24"
"repBC40_Pl2",82924.2589762561,"GAM","Quercetin","Stirred","24","R1","GAM_Quercetin_Stirred_24"
"repBC40_Pl3",80674.879769518,"mBHI","DMSOControl","Stirred","24","R1","mBHI_DMSOControl_Stirred_24"
"repBC41_Pl1",46694.2004281184,"Schaedler","WaterControl","Static","24","R2","Schaedler_WaterControl_Static_24"
"repBC41_Pl2",84809.0529383822,"GAM","Quercetin","Stirred","24","R2","GAM_Quercetin_Stirred_24"
"repBC41_Pl3",55142.7005672169,"mBHI","DMSOControl","Stirred","24","R2","mBHI_DMSOControl_Stirred_24"
"repBC42_Pl1",27664.884490992,"Schaedler","WaterControl","Static","24","R3","Schaedler_WaterControl_Static_24"
"repBC42_Pl2",14281.7194222994,"GAM","Quercetin","Stirred","24","R3","GAM_Quercetin_Stirred_24"
"repBC42_Pl3",13244.4739911213,"mBHI","DMSOControl","Stirred","24","R3","mBHI_DMSOControl_Stirred_24"
"repBC43_Pl1",28320.529323984,"Schaedler","FecesOnly","Static","24","R1","Schaedler_FecesOnly_Static_24"
"repBC43_Pl2",46157.4405791134,"GAM","CGA","Stirred","24","R1","GAM_CGA_Stirred_24"
"repBC43_Pl3",20512.1743414811,"mBHI","WaterControl","Stirred","24","R1","mBHI_WaterControl_Stirred_24"
"repBC44_Pl1",50392.5152726202,"Schaedler","FecesOnly","Static","24","R2","Schaedler_FecesOnly_Static_24"
"repBC44_Pl2",61011.8838047074,"GAM","CGA","Stirred","24","R2","GAM_CGA_Stirred_24"
"repBC44_Pl3",26030.6242343138,"mBHI","WaterControl","Stirred","24","R2","mBHI_WaterControl_Stirred_24"
"repBC45_Pl1",37804.3487936312,"Schaedler","FecesOnly","Static","24","R3","Schaedler_FecesOnly_Static_24"
"repBC45_Pl2",49337.8839572902,"GAM","CGA","Stirred","24","R3","GAM_CGA_Stirred_24"
"repBC45_Pl3",27903.9376809866,"mBHI","WaterControl","Stirred","24","R3","mBHI_WaterControl_Stirred_24"
"repBC46_Pl1",43357.4475001909,"Schaedler","Quercetin","Stirred","24","R1","Schaedler_Quercetin_Stirred_24"
"repBC46_Pl2",61189.5606522731,"GAM","DMSOControl","Stirred","24","R1","GAM_DMSOControl_Stirred_24"
"repBC46_Pl3",38457.9027163399,"mBHI","FecesOnly","Stirred","24","R1","mBHI_FecesOnly_Stirred_24"
"repBC47_Pl1",27182.6342931508,"Schaedler","Quercetin","Stirred","24","R2","Schaedler_Quercetin_Stirred_24"
"repBC47_Pl2",32381.8234805992,"GAM","DMSOControl","Stirred","24","R2","GAM_DMSOControl_Stirred_24"
"repBC47_Pl3",19876.8485871318,"mBHI","FecesOnly","Stirred","24","R2","mBHI_FecesOnly_Stirred_24"
"repBC48_Pl1",43245.2094423674,"Schaedler","Quercetin","Stirred","24","R3","Schaedler_Quercetin_Stirred_24"
"repBC48_Pl2",95048.037821373,"GAM","DMSOControl","Stirred","24","R3","GAM_DMSOControl_Stirred_24"
"repBC48_Pl3",59069.025601987,"mBHI","FecesOnly","Stirred","24","R3","mBHI_FecesOnly_Stirred_24"
"repBC49_Pl1",27459.2125974076,"Schaedler","CGA","Stirred","24","R1","Schaedler_CGA_Stirred_24"
"repBC49_Pl2",41471.6861778666,"GAM","WaterControl","Stirred","24","R1","GAM_WaterControl_Stirred_24"
"repBC49_Pl3",30742.3146005056,"mBHI","Quercetin","Static","48","R1","mBHI_Quercetin_Static_48"
