"sample_id","Shannon","Simpson","Richness","Evenness","medium","treatment","stirred","time","replicate","condition"
"repBC56_Pl1",1.98285003565327,0.657268144919995,62,0.480442324058612,"Schaedler","WaterControl","Stirred","24","R2","Schaedler_WaterControl_Stirred_24"
"repBC56_Pl2",3.59446777037932,0.952769392741467,126,0.743229579982253,"GAM","Quercetin","Static","48","R2","GAM_Quercetin_Static_48"
"repBC56_Pl3",3.69642291060079,0.959658005081901,100,0.80266803642734,"mBHI","DMSOControl","Static","48","R2","mBHI_DMSOControl_Static_48"
"repBC57_Pl1",1.83357452549103,0.683499124214066,18,0.63437324990528,"Schaedler","WaterControl","Stirred","24","R3","Schaedler_WaterControl_Stirred_24"
"repBC57_Pl2",3.420446727155,0.946140570410459,68,0.810626965548399,"GAM","Quercetin","Static","48","R3","GAM_Quercetin_Static_48"
"repBC57_Pl3",2.99162535801701,0.927812518484487,31,0.871181277003487,"mBHI","DMSOControl","Static","48","R3","mBHI_DMSOControl_Static_48"
"repBC58_Pl1",1.65640123117137,0.626588235738104,43,0.440391678246539,"Schaedler","FecesOnly","Stirred","24","R1","Schaedler_FecesOnly_Stirred_24"
"repBC58_Pl2",3.56074701712479,0.952656022040035,94,0.783736734631536,"GAM","CGA","Static","48","R1","GAM_CGA_Static_48"
"repBC58_Pl3",3.46431837064443,0.947661641846533,92,0.766138954003303,"mBHI","WaterControl","Static","48","R1","mBHI_WaterControl_Static_48"
"repBC59_Pl1",1.5783183104057,0.533091885419346,51,0.401421237317712,"Schaedler","FecesOnly","Stirred","24","R2","Schaedler_FecesOnly_Stirred_24"
"repBC59_Pl2",3.60845650842173,0.95541628239046,110,0.767678242990259,"GAM","CGA","Static","48","R2","GAM_CGA_Static_48"
"repBC59_Pl3",3.56985608669464,0.953596159144551,94,0.785741682583714,"mBHI","WaterControl","Static","48","R2","mBHI_WaterControl_Static_48"
"repBC60_Pl1",1.7249871839156,0.662116271027436,54,0.432437724437966,"Schaedler","FecesOnly","Stirred","24","R3","Schaedler_FecesOnly_Stirred_24"
"repBC60_Pl2",3.52296585554532,0.949486179510518,106,0.755443736789298,"GAM","CGA","Static","48","R3","GAM_CGA_Static_48"
"repBC60_Pl3",3.50961678616692,0.94957558763077,92,0.776156763272937,"mBHI","WaterControl","Static","48","R3","mBHI_WaterControl_Static_48"
"repBC61_Pl1",1.71280857752423,0.665254533047642,17,0.604546276445269,"Schaedler","Quercetin","Static","48","R1","Schaedler_Quercetin_Static_48"
